Samples	Signature A	Signature B	Signature C	Signature D	Signature E	Signature F	Signature G
Sample1444	113	465	95	101	107	0	85
Sample1445	154	490	128	48	69	0	85
Sample1446	444	143	191	53	84	66	45
Sample1447	149	204	104	284	0	150	83
Sample1448	495	85	152	93	53	79	29
Sample1449	529	80	114	32	68	126	43
Sample1450	518	102	118	72	140	18	47
Sample1451	339	68	99	179	125	191	0
Sample1452	503	54	131	76	78	90	68
Sample1453	521	142	69	70	47	107	30
Sample1454	292	125	77	159	86	280	0
Sample1455	523	158	115	56	67	34	47
Sample1456	530	126	119	0	85	16	116
Sample1457	510	79	197	82	40	50	22
Sample1458	73	368	0	93	213	13	258
Sample1459	485	85	95	129	68	55	91
Sample1460	104	506	102	102	43	32	92
Sample1461	517	29	157	149	84	0	44
Sample1462	145	325	0	152	179	0	215
Sample1463	190	116	468	0	167	57	31
Sample1464	445	3	148	162	40	166	36
Sample1465	557	61	132	37	93	56	37
Sample1466	500	60	84	75	49	72	152
Sample1467	113	378	96	63	184	11	172
Sample1468	506	106	96	68	113	33	105
Sample1469	497	47	150	18	150	43	95
Sample1470	423	51	87	221	72	63	83
Sample1471	139	239	313	0	97	176	7
Sample1472	120	387	127	162	37	37	114
Sample1473	106	445	38	0	256	0	171
Sample1474	138	418	263	17	81	0	106
Sample1475	562	123	73	58	60	67	37
Sample1476	79	350	70	218	0	104	167
Sample1477	368	167	81	104	107	147	15
Sample1478	537	150	103	68	58	41	43
Sample1479	481	117	180	27	112	25	43
Sample1480	518	88	121	94	58	70	30
Sample1481	282	0	79	160	347	106	34
Sample1482	472	145	193	28	85	36	33
Sample1483	509	136	96	69	85	39	45
Sample1484	502	56	189	0	111	59	61
Sample1485	527	49	70	168	49	97	48
Sample1486	522	70	111	57	63	80	97
Sample1487	258	130	136	138	77	201	48
Sample1488	468	24	125	168	46	97	80
Sample1489	542	175	89	8	81	62	28
Sample1490	519	85	181	6	115	36	36
Sample1491	72	353	36	206	223	0	121
Sample1492	200	356	124	40	73	29	205
Sample1493	406	110	79	82	78	222	59
Sample1494	74	266	0	183	229	54	212
Sample1495	484	98	158	58	76	35	83
Sample1496	283	156	96	132	31	83	205
Sample1497	449	73	138	148	77	86	55
Sample1498	586	118	74	54	50	63	47
Sample1499	543	4	144	100	48	107	35
Sample1500	196	252	79	217	44	101	86
Sample1501	105	532	124	45	33	48	87
Sample1502	251	107	129	25	329	131	47
Sample1503	493	117	122	190	49	26	20
Sample1504	467	82	78	108	60	177	46
Sample1505	404	152	176	68	76	24	92
Sample1506	195	73	106	129	307	177	31
Sample1507	222	128	443	0	102	90	33
Sample1508	62	251	17	242	210	0	221
Sample1509	475	117	88	95	36	108	73
Sample1510	566	117	78	83	68	46	34
Sample1511	389	117	201	98	83	108	31
Sample1512	139	0	465	282	0	28	58
Sample1513	469	123	135	65	69	103	51
Sample1514	500	106	166	67	61	47	33
Sample1515	530	147	102	52	89	31	49
Sample1516	486	64	134	102	112	62	40
Sample1517	279	383	132	105	0	0	121
Sample1518	486	137	47	154	17	145	34
Sample1519	139	0	465	282	0	28	58
Sample1520	149	296	0	198	243	0	131
Sample1521	462	74	234	100	76	45	9
Sample1522	103	358	78	82	202	0	178
Sample1523	521	87	128	89	55	101	33
Sample1524	221	78	128	88	323	72	106
Sample1525	528	98	129	92	51	80	40
Sample1526	543	87	124	57	71	58	39
Sample1527	517	119	113	32	73	99	32
Sample1528	165	82	114	214	241	178	20
Sample1529	446	104	131	96	51	102	62
Sample1530	162	452	105	97	45	29	78
Sample1531	485	126	99	66	104	107	39
Sample1532	522	92	91	107	42	117	21
Sample1533	111	0	118	33	110	333	294
Sample1534	121	181	229	0	14	379	70
Sample1535	489	169	97	55	77	96	38
Sample1536	571	67	71	97	110	55	37
Sample1537	556	101	143	34	119	22	40
Sample1538	491	201	30	127	28	33	98
Sample1539	461	48	243	88	95	50	30
Sample1540	501	95	115	69	63	44	92
Sample1541	526	67	150	47	90	77	43
Sample1542	108	401	0	131	169	0	206
Sample1543	255	436	99	18	72	0	88
Sample1544	534	66	60	169	17	108	38
Sample1545	414	133	75	141	46	36	169
Sample1546	437	139	0	118	71	194	8
Sample1547	511	56	150	110	44	54	67
Sample1548	55	392	40	107	249	0	170
Sample1549	562	138	97	43	75	10	47
Sample1550	556	78	103	69	75	62	37
Sample1551	105	307	19	145	223	14	195
Sample1552	111	0	118	33	110	333	294
Sample1553	153	389	100	100	100	67	72
Sample1554	124	490	37	89	47	104	96
Sample1555	146	37	117	236	265	190	24
Sample1556	157	137	424	32	99	65	49
Sample1557	470	143	144	121	7	63	32
Sample1558	507	58	149	108	73	71	34
Sample1559	156	477	58	69	39	38	143
Sample1560	496	90	47	113	88	65	101
Sample1561	575	27	139	58	81	65	35
Sample1562	521	84	126	102	34	83	30
Sample1563	175	479	132	0	79	17	142
Sample1564	111	0	118	33	110	333	294
Sample1565	143	462	78	99	42	36	105
Sample1566	116	437	157	79	28	98	72
Sample1567	298	81	114	151	120	245	0
Sample1568	566	58	52	158	37	86	51
Sample1569	201	442	190	26	56	0	93
Sample1570	164	534	140	0	81	0	111
Sample1571	487	13	108	142	68	103	94
Sample1572	126	378	54	123	178	0	154
Sample1573	486	80	93	76	112	56	97
Sample1574	223	161	149	105	102	185	86
Sample1575	139	0	465	282	0	28	58
Sample1576	248	123	110	191	78	262	0
Sample1577	139	494	114	82	48	26	77
Sample1578	93	425	91	109	79	104	72
Sample1579	530	23	99	85	120	74	84
Sample1580	500	65	117	135	41	107	43
Sample1581	456	18	49	129	85	196	32
Sample1582	518	63	155	49	77	102	44
Sample1583	515	130	167	37	48	43	52
Sample1584	174	419	161	112	74	0	94
Sample1585	536	114	126	25	97	37	50
Sample1586	168	507	67	49	80	20	96
Sample1587	482	160	139	8	62	96	38
Sample1588	190	162	0	169	271	106	116
Sample1589	244	189	463	0	67	23	38
Sample1590	195	363	63	186	78	0	95
Sample1591	469	134	144	14	120	88	46
Sample1592	130	241	67	153	42	127	215
Sample1593	385	196	173	0	121	47	105
Sample1594	474	110	195	0	88	13	104
Sample1595	319	119	123	21	112	235	47
Sample1596	417	74	123	137	69	124	74
Sample1597	163	471	48	97	14	76	97
Sample1598	522	0	137	135	49	60	97
Sample1599	416	0	36	178	139	160	77
Sample1600	407	40	163	175	55	140	47
Sample1601	537	123	87	78	80	61	42
Sample1602	505	20	130	116	46	135	34
Sample1603	557	98	117	12	77	31	116
Sample1604	110	295	150	225	21	46	189
Sample1605	169	366	13	207	39	0	183
Sample1606	88	456	179	89	101	53	8
Sample1607	485	94	176	58	64	38	85
Sample1608	500	134	84	51	54	83	86
Sample1609	497	137	127	18	70	104	39
Sample1610	515	98	116	121	26	81	69
Sample1611	140	269	155	249	15	0	208
Sample1612	462	127	170	55	37	109	68
Sample1613	433	106	122	88	93	96	70
Sample1614	482	90	140	123	70	72	37
Sample1615	154	388	33	134	73	46	137
Sample1616	482	98	107	64	34	159	82
Sample1617	210	396	18	131	87	8	132
Sample1618	139	0	465	282	0	28	58
Sample1619	96	460	38	27	211	0	170
Sample1620	111	0	118	33	110	333	294
Sample1621	453	103	164	124	46	43	51
Sample1622	474	116	206	0	85	7	104
Sample1623	301	178	246	35	93	35	96
Sample1624	125	546	146	28	33	61	85
Sample1625	493	63	121	137	66	97	31
Sample1626	210	46	156	123	343	69	61
Sample1627	57	367	7	113	229	52	182
Sample1628	129	248	279	120	64	151	35
Sample1629	498	114	155	44	34	93	62
Sample1630	186	422	100	28	26	11	203
Sample1631	233	104	282	109	131	68	87
Sample1632	328	0	73	219	295	80	21
Sample1633	300	0	501	0	95	41	46
Sample1634	498	87	187	87	21	93	27
Sample1635	558	138	42	116	45	54	47
Sample1636	441	22	0	257	50	195	2
Sample1637	250	164	158	46	28	249	92
Sample1638	535	106	75	80	62	73	55
Sample1639	623	104	60	75	76	0	54
Sample1640	553	89	58	88	64	91	43
Sample1641	564	99	56	87	79	69	54
Sample1642	263	165	77	66	0	366	38
Sample1643	534	216	46	19	21	141	36
Sample1644	237	474	0	0	77	29	149
Sample1645	139	0	465	282	0	28	58
Sample1646	477	143	115	75	41	127	48
Sample1647	202	69	99	202	313	133	0
Sample1648	220	398	100	108	68	5	77
Sample1649	95	306	159	169	0	73	214
Sample1650	130	437	152	99	73	18	70
Sample1651	300	204	0	125	27	270	68
Sample1652	311	0	59	228	356	59	0
Sample1653	144	529	171	9	38	66	31
Sample1654	514	150	29	117	53	77	78
Sample1655	101	307	162	265	26	42	78
Sample1656	139	0	465	282	0	28	58
Sample1657	394	166	196	83	46	85	22
Sample1658	497	77	131	129	48	134	14
Sample1659	465	157	232	0	49	70	17
Sample1660	567	23	84	152	62	72	48
Sample1661	460	162	120	87	70	52	68
Sample1662	95	449	107	132	42	46	102
Sample1663	428	182	74	150	79	0	95
Sample1664	568	102	63	52	109	40	51
Sample1665	609	77	81	0	91	60	54
Sample1666	0	231	435	0	126	226	0
Sample1667	84	415	0	167	185	0	164
Sample1668	268	162	5	186	0	312	40
Sample1669	137	465	72	112	6	107	69
Sample1670	197	261	250	0	96	66	112
Sample1671	551	30	63	164	41	113	52
Sample1672	300	0	501	0	95	41	46
Sample1673	463	78	73	232	17	62	83
Sample1674	566	58	52	158	37	86	51
Sample1675	501	93	132	49	68	56	93
Sample1676	169	488	84	57	20	82	73
Sample1677	234	402	95	28	18	106	143
Sample1678	545	130	93	59	60	57	56
Sample1679	175	411	117	143	46	0	77
Sample1680	255	108	24	136	313	143	33
Sample1681	480	61	111	124	63	89	57
Sample1682	297	159	196	101	75	135	60
Sample1683	123	462	176	37	80	40	57
Sample1684	303	0	73	172	256	177	0
Sample1685	188	436	21	123	73	16	125
Sample1686	300	0	501	0	95	41	46
Sample1687	549	80	103	80	56	71	50
Sample1688	530	63	120	59	73	47	93
Sample1689	516	145	163	1	123	18	34
Sample1690	436	74	154	152	121	20	35
Sample1691	40	136	486	77	121	136	26
Sample1692	429	123	139	61	24	50	154
Sample1693	442	139	200	66	80	83	4
Sample1694	101	626	79	7	51	47	68
Sample1695	153	520	158	0	92	29	75
Sample1696	185	225	53	165	0	337	29
Sample1697	540	77	67	156	44	70	46
Sample1698	262	212	169	0	146	153	81
Sample1699	168	362	200	56	30	134	85
Sample1700	537	142	132	0	99	58	32
Sample1701	515	43	166	105	42	113	24
Sample1702	415	97	49	178	43	198	0
Sample1703	344	129	148	91	58	233	26
Sample1704	506	171	101	24	66	0	149
Sample1705	235	410	34	44	92	61	97
Sample1706	216	147	222	64	15	275	43
Sample1707	537	77	48	85	58	108	95
Sample1708	139	0	465	282	0	28	58
Sample1709	479	192	120	69	99	27	29
Sample1710	425	7	172	103	79	72	134
Sample1711	470	93	135	95	172	0	35
Sample1712	546	0	171	63	86	23	90
Sample1713	139	0	465	282	0	28	58
Sample1714	197	290	160	159	0	0	174
